"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21, 2018","0.47074","0.46712","0.47296","0.46690","181.63M","0.78%"
"Oct 20, 2018","0.46712","0.45999","0.47113","0.45584","180.91M","1.55%"
"Oct 19, 2018","0.45999","0.46679","0.47116","0.45724","221.22M","-1.46%"
"Oct 18, 2018","0.46680","0.48330","0.49244","0.45553","342.26M","-3.34%"
"Oct 17, 2018","0.48294","0.48309","0.49529","0.47104","365.47M","-0.08%"
"Oct 16, 2018","0.48335","0.45983","0.48575","0.45520","391.84M","5.12%"
"Oct 15, 2018","0.45981","0.40834","0.50997","0.39902","884.05M","12.60%"
"Oct 14, 2018","0.40834","0.42245","0.42952","0.40554","222.97M","-3.32%"
"Oct 13, 2018","0.42235","0.42043","0.42995","0.41670","295.42M","0.43%"
"Oct 12, 2018","0.42055","0.38208","0.44525","0.37824","638.89M","10.07%"
"Oct 11, 2018","0.38209","0.46573","0.46574","0.37822","715.06M","-17.96%"
"Oct 10, 2018","0.46573","0.48156","0.48156","0.46220","252.60M","-3.29%"
"Oct 09, 2018","0.48157","0.49232","0.49325","0.47137","246.03M","-2.19%"
"Oct 08, 2018","0.49233","0.48247","0.49986","0.47979","329.33M","2.04%"
"Oct 07, 2018","0.48247","0.48890","0.49030","0.46854","282.52M","-1.30%"
"Oct 06, 2018","0.48883","0.52091","0.52183","0.46909","376.59M","-6.15%"
"Oct 05, 2018","0.52085","0.52870","0.53257","0.51070","332.77M","-1.49%"
"Oct 04, 2018","0.52871","0.52860","0.54900","0.52409","320.58M","0.03%"
"Oct 03, 2018","0.52855","0.51693","0.53720","0.50821","556.33M","2.23%"
"Oct 02, 2018","0.51702","0.57733","0.57982","0.51565","439.89M","-10.45%"
"Oct 01, 2018","0.57737","0.58272","0.60468","0.53364","801.49M","-0.92%"
"Sep 30, 2018","0.58274","0.56984","0.62065","0.56011","696.05M","2.27%"
"Sep 29, 2018","0.56983","0.53984","0.59224","0.52616","547.85M","5.59%"
"Sep 28, 2018","0.53969","0.54282","0.54983","0.51766","427.85M","-0.64%"
"Sep 27, 2018","0.54315","0.51250","0.55362","0.50887","475.46M","5.97%"
"Sep 26, 2018","0.51257","0.52570","0.57108","0.48556","1.10B","-2.50%"
